ID,Título,CIE 9,Información,Normativa,Normativa URL,SNOMED
2.a.4.6,Medicina Intensiva Neonatal y Pediátrica (solamente hospitalaria),,,,,
2.a.4.7,Nefrología,,,,,
2.a.4.8,Neonatología (solamente hospitalaria),,,,,
2.a.4.9,Neumología,,,,,
2.a.4.10,Neurología,,,,,
2.a.4.11,Psiquiatría,,,,,
2.a.4.12,,,,,,
2.a.5,Asistencia Domiciliaria Convencional en las especialidades de:,,,,,
2.a.5.1,Medicina General.,,,,,
2.a.5.2,Pediatría.,,,,,
2.a.6,Asistencia de Emergencia y Urgencia Institucional en las cuatro especialidades básicas:,,,,,
2.a.6.1,Medicina General.,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,
2.a.6.2,Pediatría.,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,
2.a.6.3,Cirugía,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,
2.a.6.4,Ginecotocología,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,
2.a.6.5,Anestesiología,,Según corresponda.,,,
2.a.6.6,Cardiología,,Según corresponda.,,,
2.a.6.7,Cirugía de niños,,Según corresponda.,,,
2.a.6.8,Cirugía de tórax,,Según corresponda.,,,
2.a.6.9,Cirugía plástica,,Según corresponda.,,,
2.a.6.10,Cirugía vascular,,Según corresponda.,,,
2.a.6.11,Hematología,,Según corresponda.,,,
2.a.6.12,Medicina interna,,Según corresponda.,,,
2.a.6.13,Medicina transfusional,,Según corresponda.,,,
2.a.6.14,Nefrología,,Según corresponda.,,,
2.a.6.15,Neurocirugía,,Según corresponda.,,,
2.a.6.16,Neurología,,Según corresponda.,,,
2.a.6.17,Oftalmología,,Según corresponda.,,,
2.a.6.18,Otorrinolaringología,,Según corresponda.,,,
2.a.6.19,Psiquiatría,,Según corresponda.,,,
2.a.6.20,Traumatología,,Según corresponda.,,,
2.a.6.21,Urología,,Según corresponda.,,,
2.a.6.22,Odontología,,Según corresponda.,,,
2.a.6.23,Electrodiagnóstico,,Según corresponda.,,,
2.a.6.24,Imagenología,,Según corresponda.,,,
2.a.6.25,Endoscopía,,Según corresponda.,,,
2.a.6.26,Laboratorio,,Según corresponda.,,,
2.a.6.27,Técnico en yeso,,Según corresponda.,,,
2.a.7,Asistencia de Urgencia Domiciliaria en las especialidades de:,,,,,
2.a.7.1,Medicina General,,,,,
2.a.7.2,Pediatría,,,,,
2.a.8,Asistencia de Emergencia Domiciliaria para toda la población,,Aplicable a partir de que se reglamenten los elementos del art.46 de la Ley 18.211,Ley 18.211,http://www.impo.com.uy/bases/leyes/18211-2007,
2.b,Asistencia de otros profesionales y/o técnicos,,,,,
2.b.1,Administración de medicamentos por diferentes vías,,,,,
2.b.2,"Colocación de circuitos y vías, sonda vesical y nasogástrica",,,,,
2.b.3,Curaciones y vendajes e inmovilizaciones,,,,,
2.b.4,Oxigenoterapia,,,,,
2.b.5,Inhaloterapia,,,,,
2.b.6,Aspiración de secreciones,,,,,
2.b.7,Podología para diabéticos,,,,,
2.b.8,Nutricionista,,,,,
2.b.9,Fisioterapeuta,,,,,
2.b.10,Fonoaudiólogo,,,,,
2.b.11,Psicomotricista,,,,,
2.b.12,Psicólogo (consulta con fines diagnósticos),,,,,
2.b.13,Hemoterapia,,,,,
2.b.14,Imagenología,,,,,
2.b.15,Laboratorio,,,,,
2.b.16,Químico Farmacéutico,,,,,
2.b.17,Registros Médicos,,,,,
3,Procedimientos diagnósticos,,,,,
3.a,Procedimientos quirúrgicos diagnósticos,,,,,
3.a.1,Procedimientos en el Sistema Nervioso,,,,,
3.a.1.1,"Procedimientos diagnósticos sobre cráneo, cerebro y meninges cerebrales",1.1,,,,
3.a.1.1.1,"Biopsia de meninges cerebrales, abierta",1.12,,,,
3.a.1.1.2,Biopsia percutánea [aguja] de cerebro,1.13,,,,
3.a.1.1.3,"Biopsia de cerebro, abierta",1.14,,,,
3.a.1.1.4,Biopsia de cráneo,1.15,,,,
3.a.1.1.5,Otros procedimientos diagnósticos sobre el cráneo,1.19,,,,
3.a.1.1.5.1,Colocación de sensor de Presión Intracraneana (PIC),8,,,,
3.a.1.2,Procedimientos diagnósticos sobre la médula espinal y estructuras del conducto espinal,3.3,,,,
3.a.1.2.1,Punción espinal,3.31,,,,
3.a.1.3,Procedimientos diagnósticos sobre el sistema nervioso periférico,4.1,,,,
3.a.1.4,Procedimientos diagnósticos sobre nervios o ganglios simpáticos,5.1,,,,
3.a.2,Procedimientos en el Sistema Endócrimo,,,,,
3.a.2.1,Procedimientos diagnósticos sobre glándulas paratiroides y tiroides,6.1,,,,
3.a.2.1.1,Biopsia percutánea [aguja] de glándula tiroides,6.11,,,,
3.a.2.1.1.1,Biopsia por aspiración de tiroides,,,,,
3.a.2.1.2,Biopsia de glándula paratiroides,6.13,,,,
3.a.3,Procedimientos oftalmológicos,,,,,
3.a.3.1,Procedimientos diagnósticos sobre párpado,8.1,,,,
3.a.3.1.1,Biopsia de párpado,8.11,,,,
3.a.3.2,Procedimientos diagnósticos sobre aparato lagrimal,9.1,,,,
3.a.3.2.1,Biopsia de glándula lagrimal,9.11,,,,
3.a.3.2.2,Biopsia de saco lagrimal,9.12,,,,
3.a.3.3,Procedimientos diagnósticos sobre conjuntiva,10.2,,,,
3.a.3.3.1,Biopsia de conjuntiva,10.21,,,,
3.a.3.4,Procedimientos diagnósticos sobre córnea,11.2,,,,
3.a.3.4.1,Raspado de córnea para frotis o cultivo,11.21,,,,
3.a.3.4.2,Biopsia de córnea,11.22,,,,
3.a.3.5,"Procedimientos diagnósticos sobre iris, cuerpo ciliar, esclerótica, y cámara anterior del ojo",12.2,,,,
3.a.3.5.1,Aspiración diagnóstica de la cámara anterior del ojo,12.21,,,,
3.a.3.5.2,Biopsia de iris,12.22,,,,
3.a.3.6,"Procedimientos diagnósticos sobre retina, coroides, cuerpo vítreo, y la cámara posterior del ojo",14.1,,,,
3.a.3.6.1,Aspiración diagnóstica de cuerpo vítreo,14.11,,,,
3.a.3.7,Procedimientos diagnósticos sobre músculos o tendones extraoculares,15,,,,
3.a.3.7.1,Biopsia de músculo o tendón extraocular,15.01,,,,
3.a.3.8,Procedimientos diagnósticos sobre órbita y globo ocular,16.2,,,,
3.a.3.8.1,Oftalmoscopia,16.21,,,,
3.a.3.8.2,Aspiración diagnóstica de órbita,16.22,,,,
3.a.3.8.3,Biopsia de globo ocular y órbita,16.23,,,,
3.a.3.8.4,Otros procedimientos diagnósticos sobre órbita y globo ocular,16.29,,,,
3.a.3.8.4.1,Exploración quirúrgica con o sin biopsia,124,,,,
3.a.3.8.4.2,Fondo de Ojo,132,,,,
3.a.3.8.4.3,Toma de Tensión ocular,133,,,,
3.a.3.8.4.4,Medida del diámetro corneano,134,,,,
3.a.3.8.4.5,Ecografía ocular,135,,,,
3.a.3.8.4.6,Gonioscopía,136,,,,
3.a.3.8.4.7,Fotografías,137,,,,
3.a.4,Procedimientos en el oído,,,,,
3.a.4.1,Procedimientos diagnósticos sobre el oído externo,18.1,,,,
3.a.4.1.1,Otoscopia,18.11,,,,
3.a.4.1.2,Biopsia de oído externo,18.12,,,,
3.a.4.1.3,Otros procedimientos diagnósticos sobre oído externo,18.19,,,,
3.a.4.1.3.1,Aspiración bajo microscopio de OE (diagnóstica),2,,,,
3.a.4.2,Procedimientos diagnósticos sobre el oído medio y el oído interno,20.3,,,,
3.a.4.2.1,Electrococleografía,20.31,,,,
3.a.4.2.2,Biopsia de oído medio e interno,20.32,,,,
3.a.5,"Procedimientos en la nariz, boca y faringe",,,,,
3.a.5.1,Procedimientos diagnósticos sobre la región nasal,21.2,,,,
3.a.5.1.1,Rinoscopía,21.21,,,,
3.a.5.1.2,Biopsia de nariz,21.22,,,,
3.a.5.1.3,Otros procedimientos diagnósticos sobre la región nasal,21.29,,,,
3.a.5.1.3.1,Microscopía diagnóstica,11,,,,
3.a.5.2,Procedimientos diagnósticos sobre seno nasal,22.1,,,,
3.a.5.2.1,Biopsia de seno nasal cerrada [endoscópica] [punción con aguja],22.11,,,,
3.a.5.2.2,Biopsia de seno nasal abierta,22.12,,,,
3.a.5.2.3,Otros procedimientos diagnósticos sobre senos nasales (maxilares),22.19,,,,
3.a.5.2.3.1,Sinusoscopía,51,,,,
3.a.5.3,"Procedimientos diagnósticos sobre dientes, encías y alvéolos",24.1,,,,
3.a.5.3.1,Biopsia de encía,24.11,,,,
3.a.5.3.2,Biopsia de alvéolo,24.12,,,,
3.a.5.4,Procedimientos diagnósticos sobre la lengua,25,,,,
3.a.5.4.1,Biopsia cerrada de lengua (punción-aspiración con aguja fina) [PAAF],25.01,,,,
3.a.5.4.2,Biopsia abierta de la lengua,25.02,,,,
3.a.5.4.2.1,Biopsia en cuña,,,,,
3.a.5.5,Procedimientos diagnósticos sobre glándulas y conductos salivales,26.1,,,,
3.a.5.5.1,Biopsia cerrada (punción-aspiración con aguja fina) [PAAF] de glándula o conducto salival,26.11,,,,
3.a.5.5.2,Biopsia abierta de glándula o conducto salival,26.12,,,,
3.a.5.6,Procedimientos diagnósticos sobre la cavidad oral,27.2,,,,
3.a.5.6.1,Biopsia del paladar óseo,27.21,,,,
3.a.5.6.2,Biopsia de úvula y paladar blando,27.22,,,,
3.a.5.6.3,Biopsia de labio,27.23,,,,
3.a.5.7,Procedimientos diagnósticos sobre amígdalas y adenoides,28.1,,,,
3.a.5.7.1,Biopsia de amígdalas y adenoides,28.11,,,,
3.a.5.7.2,Otros procedimientos diagnósticos sobre amígdalas y adenoides,28.19,,,,
3.a.5.7.2.1,Curetaje biópsico de Cavum,142,,,,
3.a.5.8,Procedimientos diagnósticos sobre faringe,29.1,,,,
3.a.5.8.1,Faringoscopia,29.11,,,,
3.a.5.8.2,Biopsia faríngea,29.12,,,,
3.a.5.8.2.1,Biopsia de masa supraglótica,,,,,
3.a.5.8.2.2,Biopsia por Faringoscopía directa en hipofaringe,123,,,,
3.a.5.8.2.3,Biopsia por Faringoscopía indirecta en hipofaringe,124,,,,
3.a.6,Procedimientos en el sistema respiratorio,,,,,
3.a.6.1,Procedimientos diagnósticos sobre laringe y tráquea,31.4,,,,
3.a.6.1.1,Laringoscopia y otra traqueoscopia,31.42,,,,
3.a.6.1.1.1,Laringoscopía indirecta,,,,,
3.a.6.1.2,Biopsia cerrada de laringe [endoscópica],31.43,,,,
3.a.6.1.3,Biopsia cerrada de tráquea [endoscópica],31.44,,,,
3.a.6.2,Procedimientos diagnósticos sobre pulmón y bronquio,33.2,,,,
3.a.6.2.1,Broncoscopía a través de estoma artificial,33.21,,,,
3.a.6.2.2,Broncoscopía fibroóptica,33.22,,,,
3.a.6.2.3,Biopsia cerrada bronquial [endoscópica],33.24,,,,
3.a.6.2.3.1,Broncoscopía (fibroóptica) (rígida) con:,,,,,
3.a.6.2.3.1.1,biopsia por escición,,,,,
3.a.6.2.3.1.2,biopsia por cepillado de pulmón,,,,,
3.a.6.2.3.1.3,cepillado o lavado para recogida de muestra (lavado bronco-alveolar),,,,,
3.a.6.2.4,Biopsia percutánea [aguja] de pulmón,33.26,,,,
3.a.6.2.5,Biopsia endoscópica de pulmón,33.27,,,,
3.a.6.2.5.1,Biopsia pulmonar transbronquial,,,,,
3.a.6.2.5.2,Broncoscopía por fibroóptica (flexible) con guía fluoroscópica con biopsia,,,,,
3.a.6.2.6,Biopsia abierta de pulmón,33.28,,,,
3.a.6.3,"Procedimientos diagnósticos sobre pared torácica, pleura, mediastino y diafragma",34.2,,,,
3.a.6.3.1,Toracoscopía transpleural,34.21,,,,
3.a.6.3.2,Mediastinoscopía,34.22,,,,
3.a.6.3.2.1,Pleuroscopía,,,,,
3.a.6.3.3,Biopsia de pared torácica,34.23,,,,
3.a.6.3.4,Biopsia pleural,34.24,,,,
3.a.6.3.5,Biopsia percutánea [aguja] de mediastino,34.25,,,,
3.a.6.3.6,Biopsia abierta mediastínica,34.26,,,,
3.a.6.3.7,Biopsia de diafragma,34.27,,,,
3.a.7,Procedimientos en el sistema cardiovascular,,,,,
3.a.7.1,Procedimientos diagnósticos sobre corazón y pericardio,37.2,,,,
3.a.7.1.1,Cateterismo cardiaco del lado derecho del corazón (FNR),37.21,,,,
3.a.7.1.2,Cateterismo cardiaco del lado izquierdo del corazón (FNR),37.22,,,,
3.a.7.1.3,Cateterismo combinado de los lados derecho e izquierdo del corazón (FNR),37.23,,,,
3.a.7.1.4,Biopsia de pericardio,37.24,,,,
3.a.7.1.5,Biopsia de corazón,37.25,,,,
3.a.7.2,Procedimientos diagnósticos sobre vasos sanguíneos,38.2,,,,
3.a.7.2.1,Biopsia de vaso sanguíneo,38.21,,,,
3.a.7.2.2,Angioscopía percutánea,38.22,,,,
3.a.8,Procedimientos en los sistemas hemos y linfáticos,,,,,
3.a.8.1,Procedimientos diagnósticos sobre estructuras linfáticas,40.1,,,,
3.a.8.1.1,Biopsia de estructura linfática,40.11,,,,
3.a.8.1.1.1,Biopsia ganglionar superficial,2,,,,
3.a.8.1.1.2,Biopsia ganglionar profunda (mediastino; retroperitoneo; profunda de cuello),3,,,,
3.a.8.1.2,Procedimientos diagnósticos sobre médula ósea y bazo,41.3,,,,
3.a.8.1.3,Biopsia de médula ósea,41.31,,,,
3.a.9,Procedimientos en el sistema digestivo (con o sin anestesia),,,,,
3.a.9.1,Procedimientos diagnósticos sobre esófago,42.2,,,,
3.a.9.1.1,Esofagoscopía operatoria por incisión,42.21,,,,
3.a.9.1.2,Esofagoscopía a través de estoma artificial,42.22,,,,
3.a.9.1.3,Biopsia de esófago endoscópica,42.24,,,,
3.a.9.1.3.1,Biopsia por aspiración del esófago,,,,,
3.a.9.1.3.2,Esofagoscopía con biopsia,,,,,
3.a.9.1.4,Biopsia abierta de esófago,42.25,,,,
3.a.9.2,Procedimientos diagnósticos sobre estómago,44.1,,,,
3.a.9.2.1,Gastroscopía transabdominal,44.11,,,,
3.a.9.2.1.1,Gastroscopía intraoperatoria,,,,,
3.a.9.2.2,Gastroscopía a través de estoma artificial,44.12,,,,
